gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3821085703	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1316	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Bravaisia			GENUS	Bravaisia DC.	Bravaisia ​​integerrima	DC.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167888	-72.552064			86.0	0.0			2019-11-21T00:00:00	21	11	2019	7264177		HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.457Z		
3821085702	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1317	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Randia	Randia obcordata		SPECIES	Randia obcordata S.Watson	Randia obcordata	S.Watson	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167896	-72.552072			86.0	0.0			2019-11-21T00:00:00	21	11	2019	5339453	5339453	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.457Z		
3821085701	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K944	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Libidibia	Libidibia coriaria		SPECIES	Caesalpinia coriaria (Jacq.) Willd.	Caesalpinia coriaria	(Jacq.) Willd.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169078	-72.554606			85.0	0.0			2019-11-21T00:00:00	21	11	2019	2958706	2958707	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.454Z		
3821085700	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1315	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia macracantha		SPECIES	Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger	Vachellia macracantha	(Humb. & Bonpl. ex Willd.) Seigler & Ebinger	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.16787	-72.552084			86.0	0.0			2019-11-21T00:00:00	21	11	2019	3795445	3795445	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.456Z		
3821085699	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K958	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Muellera	Muellera sanctae-marthae		SPECIES	Lonchocarpus sanctae-martae Pittier	Lonchocarpus sanctae-marthae	Pittier	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169899	-72.554251			83.0	0.0			2019-11-22T00:00:00	22	11	2019	3977005	9189710	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.456Z		TAXON_MATCH_FUZZY
3821085698	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K957	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Muellera	Muellera sanctae-marthae		SPECIES	Lonchocarpus sanctae-martae Pittier	Lonchocarpus sanctae-marthae	Pittier	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169938	-72.554259			83.0	0.0			2019-11-22T00:00:00	22	11	2019	3977005	9189710	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.456Z		TAXON_MATCH_FUZZY
3821085697	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1314	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Senegalia	Senegalia polyphylla		SPECIES	Senegalia polyphylla (DC.) Britton & Rose	Senegalia polyphylla	Britton & Rose ex Britton & Killip	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167866	-72.552068			86.0	0.0			2019-11-21T00:00:00	21	11	2019	2980360	2980360	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.456Z		
3821085696	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1311	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Bravaisia			GENUS	Bravaisia DC.	Bravaisia ​​integerrima	DC.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167841	-72.552029			86.0	0.0			2019-11-21T00:00:00	21	11	2019	7264177		HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.456Z		
3821085695	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1312	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Bravaisia			GENUS	Bravaisia DC.	Bravaisia ​​integerrima	DC.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167851	-72.552059			86.0	0.0			2019-11-21T00:00:00	21	11	2019	7264177		HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.455Z		
3821085694	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1313	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Bravaisia			GENUS	Bravaisia DC.	Bravaisia ​​integerrima	DC.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167862	-72.552073			86.0	0.0			2019-11-21T00:00:00	21	11	2019	7264177		HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.455Z		
