gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3923218531	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:88	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Crotophaga	Crotophaga sulcirostris		SPECIES	Crotophaga sulcirostris Swainson, 1827	Crotophaga sulcirostris	Swainson, 1827	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.231854	-71.975294			19.5	3.5			2021-07-27T00:00:00	27	7	2021	2496211	2496211	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			88			CC_BY_NC_4_0					2023-08-26T11:14:43.173Z		
3923218530	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:87	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Crotophaga	Crotophaga sulcirostris		SPECIES	Crotophaga sulcirostris Swainson, 1827	Crotophaga sulcirostris	Swainson, 1827	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229613	-71.975918			16.5	1.5			2021-07-27T00:00:00	27	7	2021	2496211	2496211	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			87			CC_BY_NC_4_0					2023-08-26T11:14:43.170Z		
3923218529	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:86	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Crotophaga	Crotophaga sulcirostris		SPECIES	Crotophaga sulcirostris Swainson, 1827	Crotophaga sulcirostris	Swainson, 1827	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.234498	-71.972019			18.0	1.0			2021-07-27T00:00:00	27	7	2021	2496211	2496211	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			86			CC_BY_NC_4_0					2023-08-26T11:14:43.165Z		
3923218528	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:4	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			4			CC_BY_NC_4_0					2023-08-26T11:14:43.158Z		
3923218527	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:5	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			5			CC_BY_NC_4_0					2023-08-26T11:14:43.153Z		
3923218526	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:10	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			10			CC_BY_NC_4_0					2023-08-26T11:14:43.151Z		
3923218525	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:11	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			11			CC_BY_NC_4_0					2023-08-26T11:14:43.143Z		
3923218524	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:259	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columbina	Columbina passerina		SPECIES	Columbina passerina (Linnaeus, 1758)	Columbina passerina	(Linnaeus, 1758)	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229461	-71.97376			19.0	0.0			2021-07-26T00:00:00	26	7	2021	2495869	2495869	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			259			CC_BY_NC_4_0					2023-08-26T11:14:43.141Z		
3923218523	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:138	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Melanospiza	Melanospiza bicolor		SPECIES	Melanospiza bicolor (Linnaeus, 1766)	Melanospiza bicolor	(Linnaeus, 1766)	CO	Orosito	La Guajira	PRESENT	2	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229084	-71.974071			18.5	2.5			2021-07-26T00:00:00	26	7	2021	9426540	9426540	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			138			CC_BY_NC_4_0					2023-08-26T11:14:41.014Z		
3923218522	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:2	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			2			CC_BY_NC_4_0					2023-08-26T11:14:43.146Z		
3923218521	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:3	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			3			CC_BY_NC_4_0					2023-08-26T11:14:43.136Z		
3923218520	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:139	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Melanospiza	Melanospiza bicolor		SPECIES	Melanospiza bicolor (Linnaeus, 1766)	Melanospiza bicolor	(Linnaeus, 1766)	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.232054	-71.971908			18.5	2.5			2021-07-27T00:00:00	27	7	2021	9426540	9426540	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			139			CC_BY_NC_4_0					2023-08-26T11:14:41.008Z		
3923218519	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Magnoliopsida:12	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Puerto Bolívar	La Guajira	PRESENT		14fb9c57-68a5-4870-b434-5355df7a9c3c	12.235877	-71.974835			11.0	0.0			2021-07-24T00:00:00	24	7	2021	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			12			CC_BY_NC_4_0					2023-08-26T11:14:43.134Z		
